Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,round,year,institute,type
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),10538,14511,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,886,1041,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2136,2167,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2076,3151,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5062,5470,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1101,1766,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2175,2175,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,552,862,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),846,846,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3873,5535,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8804,9686,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,164,164,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,671,767,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1367,1367,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1422,2072,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3635,4551,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Female-only (including Supernumerary),69P,69P,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,987,1293,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1476,1476,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,511,553,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),830,830,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8840,10494,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),19737,20216,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1749,1801,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3444,4500,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6849,6849,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1650,2568,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3531,3531,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1221,1221,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4174,4607,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),7679,8287,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,661,727,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1664,1935,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4715,4715,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,989,992,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2114,2114,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mathematics and Computing (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,619,769,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4945,10078,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),13775,18906,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,154P,165P,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1272,1573,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2712,2851,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3085,3975,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6760,7321,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1789,2275,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3073,3225,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,915,1035,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1254,1471,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,11591,13695,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),20044,21967,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2057,2211,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,5004,5323,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8517,8849,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2723,2907,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3707,3707,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1195,1200,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1764,1764,1,2025,Indian Institute of Technology Bhubaneswar,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1195,2305,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4812,5994,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,219,404,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1160,1160,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,41,41,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,909,1283,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),2823,3552,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Female-only (including Supernumerary),75P,75P,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,162,600,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),459,879,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,315,409,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),684,684,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,4724,7722,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),13688,13761,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1123,1311,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2839,2839,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,2786,4014,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),5934,5934,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2140,2370,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),3236,3236,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1063,1070,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),1581,1581,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,370,957,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),3432,3432,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,397,397,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),1085,1085,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,266,742,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),2616,2616,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL (PwD),Gender-Neutral,56P,56P,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,24,556,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),1771,1771,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,557,557,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,601,2405,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4813,5969,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,176,176,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),198,198,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,321,481,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1018,1139,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,37,37,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,800,1255,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),2840,3320,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,24P,24P,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,443,679,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1124,1242,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,9,9,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,308,460,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),523,649,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,335,6647,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),9368,10435,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,986,1353,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2621,2621,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,2548,3367,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),6467,6573,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,1436,1810,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),719,719,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,910,1017,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),1540,1540,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2666,4095,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6085,8597,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,62,179,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,522,725,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1442,1643,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,10P,10P,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,973,1783,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),2873,4549,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,76,80,1,2025,Indian Institute of Technology Bombay,IIT
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,444,934,1,2025,Indian Institute of Technology Bombay,IIT
