
Joint Seat Allocation Authority 2025
IITs, NITs, IIEST, IIITs and Other-GFTIs for the Academic Year 2025-26

 Home
 CSC Login
Opening and Closing Ranks
Round No

6
Institute Type

ALL
Institute Name

ALL
Academic Program

ALL
Seat Type / Category

ALL
Opening/Closing Ranks for Open Seats represent CRL. Opening/Closing Ranks for EWS, OBC-NCL, SC and ST Seats represent respective Category Ranks. Opening/Closing Ranks for PwD Seats represent PwD Ranks within Respective Categories.

If the Closing/Opening rank has a suffix 'P', it indicates that the corresponding rank is from Preparatory Rank List.

Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	EWS	Gender-Neutral	498	554
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	EWS	Female-only (including Supernumerary)	978	978
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	OBC-NCL	Gender-Neutral	993	1405
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	OBC-NCL	Female-only (including Supernumerary)	2899	3344
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	SC	Gender-Neutral	371	855
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	SC	Female-only (including Supernumerary)	1565	1565
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	ST	Gender-Neutral	691	828
Indian Institute of Technology Bombay	Economics (4 Years, Bachelor of Science)	AI	ST	Female-only (including Supernumerary)	564	564
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	106	433
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	779	1914
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OPEN (PwD)	Gender-Neutral	23	23
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	51	113
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	235	396
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	EWS (PwD)	Gender-Neutral	11	11
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	122	339
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	588	1117
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL (PwD)	Gender-Neutral	20	20
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	57	163
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	345	753
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	SC (PwD)	Gender-Neutral	7	7
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	21	96
Indian Institute of Technology Bombay	Electrical Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	196	260
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	OPEN	Gender-Neutral	470	841
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	OPEN	Female-only (including Supernumerary)	2219	3274
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	OPEN (PwD)	Gender-Neutral	29	29
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	EWS	Gender-Neutral	178	265
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	EWS	Female-only (including Supernumerary)	443	621
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	EWS (PwD)	Gender-Neutral	36	36
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	OBC-NCL	Gender-Neutral	417	549
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	OBC-NCL	Female-only (including Supernumerary)	1211	1545
Indian Institute of Technology Bombay	Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))	AI	OBC-NCL (PwD)	Gender-Neutral	37	37
